Heap Size (bytes)	Writes (pages)	Mean mprotect (us)	StDev mprotect (us)	Mean mwritten (us)	StDev mwritten (us)
134217728	32768	164161.000000	122.008196	100124.000000	881.303580
268435456	32768	177668.000000	290.096536	266390.000000	11274.703189
536870912	32768	189147.000000	352.615938	603639.000000	77981.235147
1073741824	32768	207585.000000	584.912814	1320384.000000	396742.101125
