Heap Size (bytes)	Writes (pages)	Mean mprotect (us)	StDev mprotect (us)	Mean mwritten (us)	StDev mwritten (us)
8192	2	8.000000	1.000000	2.000000	0.000000
16384	2	9.000000	1.000000	2.000000	0.000000
32768	2	9.000000	1.000000	3.000000	0.000000
65536	2	9.000000	1.000000	4.000000	0.000000
131072	2	9.000000	1.000000	6.000000	1.000000
262144	2	9.000000	1.000000	11.000000	1.414214
524288	2	9.000000	1.000000	20.000000	2.828427
1048576	2	9.000000	1.000000	40.000000	5.099020
2097152	2	10.000000	1.000000	83.000000	33.496268
4194304	2	10.000000	2.000000	157.000000	37.269290
8388608	2	11.000000	2.236068	314.000000	90.266273
16777216	2	11.000000	3.000000	638.000000	246.955462
33554432	2	11.000000	3.316625	1286.000000	712.830274
67108864	2	15.000000	7.141428	2667.000000	2385.749777
134217728	2	19.000000	7.549834	5698.000000	8637.654543
268435456	2	19.000000	5.477226	13002.000000	32747.103719
536870912	2	27.000000	7.681146	32791.000000	128761.593870
1073741824	2	30.000000	7.549834	39706.000000	88.746831
