Heap Size (bytes)	Writes (pages)	Mean mprotect (us)	StDev mprotect (us)	Mean mwritewatch (us)	StDev mwritewatch (us)
536870912	131072	711167.000000	452.880779	1351482.000000	3653.789403
1073741824	131072	812270.000000	745.589699	3948533.000000	142339.474602
