Heap Size (bytes)	Writes (pages)	Mean mprotect (us)	StDev mprotect (us)	Mean mwritewatch (us)	StDev mwritewatch (us)
67108864	16384	576460752303443712.000000	3209597633245011968.000000	376464164769590080.000000	2608220242439453184.000000
134217728	16384	570517857949804416.000000	3193541339773114368.000000	768614336404583808.000000	3686144863798898688.000000
268435456	16384	570517857949806720.000000	3193541339773114368.000000	1621691786699804160.000000	5223509271039398912.000000
536870912	16384	768614336404582656.000000	3686144863798898688.000000	2544378492925541888.000000	6360946232313295872.000000
