Heap Size (bytes)	Writes (pages)	Mean mprotect (us)	StDev mprotect (us)	Mean mwritewatch (us)	StDev mwritewatch (us)
4096	1	5.000000	1.414214	1.000000	1.414214
8192	1	5.000000	0.000000	1.000000	0.000000
16384	1	5.000000	0.000000	2.000000	0.000000
32768	1	5.000000	1.000000	2.000000	0.000000
65536	1	5.000000	1.000000	4.000000	0.000000
131072	1	5.000000	1.000000	6.000000	0.000000
262144	1	5.000000	1.000000	11.000000	1.414214
524288	1	6.000000	0.000000	20.000000	3.000000
1048576	1	6.000000	0.000000	39.000000	5.744563
2097152	1	6.000000	1.000000	76.000000	12.000000
4194304	1	6.000000	1.414214	153.000000	38.431758
8388608	1	6.000000	2.000000	306.000000	90.708324
16777216	1	7.000000	2.236068	619.000000	243.595977
33554432	1	7.000000	3.464102	1260.000000	723.730613
67108864	1	11.000000	5.385165	2605.000000	2395.389321
134217728	1	11.000000	5.916080	5578.000000	8538.958953
268435456	1	12.000000	5.099020	12685.000000	32094.389712
536870912	1	16.000000	6.557439	32103.000000	126292.439873
