Heap Size (bytes)	Writes (pages)	Mean mprotect (us)	StDev mprotect (us)	Mean mwritten (us)	StDev mwritten (us)
268435456	65536	340336.000000	232.310138	355254.000000	1780.823124
536870912	65536	371950.000000	396.248659	1014927.000000	36137.985749
1073741824	65536	419931.000000	656.741958	2348573.000000	295638.550169
