Heap Size (bytes)	Writes (pages)	Mean mprotect (us)	StDev mprotect (us)	Mean mwritewatch (us)	StDev mwritewatch (us)
8388608	2048	5223.000000	24.331050	1213.000000	50.378567
16777216	2048	5966.000000	21.563859	2424.000000	283.737555
33554432	2048	6269.000000	34.770677	3652.000000	601.588730
67108864	2048	6555.000000	52.952809	6446.000000	1894.795767
134217728	2048	6750.000000	75.696763	10726.000000	6390.345374
268435456	2048	6817.000000	125.781557	188232082384805888.000000	1853871013143679232.000000
536870912	2048	6957.000000	262.499524	376464164769599616.000000	2608220242439508992.000000
