Heap Size (bytes)	Writes (pages)	Mean mprotect (us)	StDev mprotect (us)	Mean mwritewatch (us)	StDev mwritewatch (us)
1048576	256	603.000000	6.000000	95.000000	5.000000
2097152	256	646.000000	7.071068	160.000000	13.304135
4194304	256	664.000000	8.306624	285.000000	107.680082
8388608	256	687.000000	10.198039	413.000000	183.986413
16777216	256	750.000000	10.246951	509.000000	264.503308
33554432	256	790.000000	16.124515	926.000000	707.832607
67108864	256	825.000000	26.758176	1518.000000	1917.862873
134217728	256	850.000000	43.817805	2164.000000	638.649356
268435456	256	867.000000	76.472217	7830.000000	26168.896041
536870912	256	873.000000	147.522880	11799.000000	10714.690803
