Heap Size (bytes)	Writes (pages)	Mean mprotect (us)	StDev mprotect (us)	Mean mwritten (us)	StDev mwritten (us)
16777216	4096	19026.000000	50.447993	4037.000000	99.639350
33554432	4096	20136.000000	73.511904	7915.000000	614.471317
67108864	4096	21130.000000	85.965109	14337.000000	2170.663493
134217728	4096	21674.000000	116.961532	27914.000000	7513.285100
268435456	4096	22172.000000	172.774419	53906.000000	29545.369417
536870912	4096	22668.000000	326.724655	113006.000000	122219.136313
1073741824	4096	24139.000000	603.693631	241677.000000	497523.311091
