Heap Size (bytes)	Writes (pages)	Mean mprotect (us)	StDev mprotect (us)	Mean mwritewatch (us)	StDev mwritewatch (us)
33554432	8192	38982.000000	68.212902	10602.000000	202.356122
67108864	8192	41555.000000	91.016482	23208.000000	1394.973476
134217728	8192	43453.000000	152.367976	46393.000000	6470.572695
268435456	8192	44777.000000	196.038262	92691.000000	26269.083768
536870912	8192	45899.000000	353.922308	191276.000000	114478.618571
1073741824	8192	49302.000000	606.817106	400818.000000	483086.703862
