Heap Size (bytes)	Writes (pages)	Mean mprotect (us)	StDev mprotect (us)	Mean mwritewatch (us)	StDev mwritewatch (us)
524288	128	501.000000	5.196152	83.000000	3.872983
1048576	128	537.000000	5.830952	106.000000	1.732051
2097152	128	571.000000	10.954451	200.000000	77.226938
4194304	128	579.000000	10.908712	279.000000	108.664622
8388608	128	589.000000	11.874342	411.000000	105.014285
16777216	128	619.000000	12.247449	788.000000	294.409579
33554432	128	636.000000	17.691806	1434.000000	740.041891
67108864	128	657.000000	26.814175	2822.000000	2385.333310
134217728	128	672.000000	38.353618	6039.000000	8636.200611
268435456	128	683.000000	57.113921	13399.000000	32612.657451
536870912	128	711.000000	109.886305	33112.000000	128762.072063
1073741824	128	744.000000	164.553943	40127.000000	2388.350895
