Heap Size (bytes)	Writes (pages)	Mean mprotect (us)	StDev mprotect (us)	Mean mwritten (us)	StDev mwritten (us)
262144	64	250.000000	4.358899	44.000000	2.000000
524288	64	266.000000	4.358899	54.000000	0.000000
1048576	64	273.000000	5.000000	73.000000	2.449490
2097152	64	285.000000	4.472136	142.000000	69.871310
4194304	64	290.000000	6.633250	212.000000	70.654087
8388608	64	294.000000	8.124038	368.000000	103.638796
16777216	64	308.000000	10.246951	704.000000	265.286637
33554432	64	319.000000	13.892444	1368.000000	723.350537
67108864	64	330.000000	21.863211	2750.000000	2377.926408
134217728	64	338.000000	31.559468	5784.000000	8652.567134
268435456	64	347.000000	50.862560	13251.000000	32652.737634
536870912	64	366.000000	78.898669	32875.000000	128895.764298
1073741824	64	398.000000	107.368524	39821.000000	102.912584
