Heap Size (bytes)	Writes (pages)	Mean mprotect (us)	StDev mprotect (us)	Mean mwritewatch (us)	StDev mwritewatch (us)
65536	16	62.000000	2.000000	10.000000	1.414214
131072	16	66.000000	2.000000	14.000000	1.000000
262144	16	68.000000	2.449490	18.000000	1.414214
524288	16	69.000000	2.236068	29.000000	2.449490
1048576	16	69.000000	2.236068	47.000000	4.690416
2097152	16	72.000000	3.000000	92.000000	37.536649
4194304	16	73.000000	3.000000	170.000000	50.556899
8388608	16	74.000000	3.316625	324.000000	89.325248
16777216	16	77.000000	5.744563	648.000000	237.686769
33554432	16	80.000000	7.745967	1308.000000	708.416544
67108864	16	82.000000	11.357817	2673.000000	2387.099286
134217728	16	88.000000	13.820275	5712.000000	8641.467121
268435456	16	93.000000	20.124612	13016.000000	32667.490859
536870912	16	110.000000	30.413813	32858.000000	129080.499224
1073741824	16	135.000000	38.288379	39736.000000	81.184974
