Heap Size (bytes)	Writes (pages)	Mean mprotect (us)	StDev mprotect (us)	Mean mwritewatch (us)	StDev mwritewatch (us)
16384	4	16.000000	1.414214	3.000000	0.000000
32768	4	17.000000	1.000000	4.000000	1.000000
65536	4	18.000000	1.000000	5.000000	0.000000
131072	4	18.000000	1.000000	7.000000	1.000000
262144	4	18.000000	1.000000	12.000000	1.414214
524288	4	18.000000	1.000000	22.000000	2.828427
1048576	4	18.000000	2.236068	41.000000	5.099020
2097152	4	19.000000	1.732051	84.000000	32.140317
4194304	4	20.000000	2.000000	159.000000	35.679126
8388608	4	20.000000	2.645751	316.000000	87.367042
16777216	4	20.000000	3.872983	639.000000	237.282532
33554432	4	21.000000	4.358899	1290.000000	719.068842
67108864	4	26.000000	6.557439	2662.000000	2387.232289
134217728	4	26.000000	7.549834	5701.000000	8625.624731
268435456	4	31.000000	8.774964	12990.000000	32634.285146
536870912	4	43.000000	11.045361	32776.000000	128686.501895
1073741824	4	51.000000	11.532563	39701.000000	87.504286
