Heap Size (bytes)	Writes (pages)	Mean mprotect (us)	StDev mprotect (us)	Mean mwritewatch (us)	StDev mwritewatch (us)
131072	32	125.000000	4.000000	22.000000	1.414214
262144	32	131.000000	3.162278	27.000000	0.000000
524288	32	135.000000	1.732051	37.000000	1.414214
1048576	32	137.000000	1.732051	56.000000	4.000000
2097152	32	142.000000	2.828427	103.000000	47.159304
4194304	32	146.000000	4.123106	192.000000	73.647811
8388608	32	146.000000	4.898979	343.000000	106.503521
16777216	32	153.000000	7.681146	653.000000	247.963707
33554432	32	158.000000	10.583005	1284.000000	719.400445
67108864	32	165.000000	14.456832	2638.000000	2401.805154
134217728	32	173.000000	20.784610	5627.000000	8536.967494
268435456	32	178.000000	27.477263	12714.000000	32008.348505
536870912	32	196.000000	47.927028	32149.000000	126113.458608
