Heap Size (bytes)	Writes (pages)	Mean mprotect (us)	StDev mprotect (us)	Mean mwritten (us)	StDev mwritten (us)
4194304	1024	4316.000000	29.325757	751.000000	24.372115
8388608	1024	4545.000000	41.904654	1239.000000	80.099938
16777216	1024	4928.000000	43.150898	2022.000000	353.903942
33554432	1024	5139.000000	46.893496	3284.000000	834.113901
67108864	1024	5236.000000	54.212545	5596.000000	2366.207725
134217728	1024	5344.000000	80.467385	10627.000000	8374.365707
268435456	1024	5444.000000	129.417928	22647.000000	31998.070176
536870912	1024	5558.000000	277.299477	49197.000000	127472.596494
1073741824	1024	5731.000000	495.623849	123443.000000	508505.930353
