Heap Size (bytes)	Writes (pages)	Mean mprotect (us)	StDev mprotect (us)	Mean mwritewatch (us)	StDev mwritewatch (us)
32768	8	32.000000	2.000000	6.000000	1.414214
65536	8	33.000000	1.732051	7.000000	0.000000
131072	8	34.000000	1.000000	9.000000	0.000000
262144	8	34.000000	1.000000	14.000000	1.000000
524288	8	35.000000	1.414214	23.000000	2.645751
1048576	8	35.000000	1.414214	42.000000	5.196152
2097152	8	37.000000	1.414214	85.000000	33.271610
4194304	8	37.000000	2.236068	158.000000	45.033321
8388608	8	38.000000	3.162278	318.000000	96.431323
16777216	8	40.000000	4.123106	631.000000	247.830587
33554432	8	41.000000	6.403124	1269.000000	730.388253
67108864	8	42.000000	9.110434	2612.000000	2385.232483
134217728	8	48.000000	10.816654	5588.000000	8565.460933
268435456	8	53.000000	13.076697	12707.000000	32116.554485
536870912	8	68.000000	18.601075	32141.000000	126296.039950
