kStretchTreeDepth	LongLivedTreeDepth	kArraySize	kMinTreeDepth	kMaxTreeDepth	GC Itertations	Heap Size	Time Elapsed
16	17	5000000	4	21	236	60387328	277
16	18	5000000	4	21	201	74149888	319
16	19	5000000	4	21	177	91086848	372
16	20	5000000	4	21	167	127836160	480
16	21	5000000	4	21	166	195248128	685
16	22	5000000	4	21	166	346243072	1164
16	23	5000000	4	21	172	656621568	2181
16	24	5000000	4	21	178	1210269696	3833
16	25	5000000	4	21	183	-1985789952	7466
16	16	5000000	4	21	279	56655872	255
16	17	5000000	4	21	236	60387328	285
16	18	5000000	4	21	201	74149888	320
16	19	5000000	4	21	177	91086848	371
16	20	5000000	4	21	167	127836160	471
16	21	5000000	4	21	165	195248128	692
16	22	5000000	4	21	166	346243072	1164
16	23	5000000	4	21	171	623067136	1987
16	24	5000000	4	21	178	1201881088	3803
16	25	5000000	4	21	182	-1985789952	7374
16	16	5000000	4	21	280	56655872	255
16	17	5000000	4	21	236	60387328	278
16	18	5000000	4	21	201	74149888	321
16	19	5000000	4	21	177	91086848	372
16	20	5000000	4	21	167	127836160	473
16	21	5000000	4	21	165	195248128	694
16	22	5000000	4	21	166	346243072	1162
16	23	5000000	4	21	172	656621568	2179
16	24	5000000	4	21	178	1201881088	3816
16	25	5000000	4	21	183	-1985789952	7454
16	16	5000000	4	21	279	56655872	254
16	17	5000000	4	21	236	60387328	276
16	18	5000000	4	21	201	74149888	323
16	19	5000000	4	21	177	91086848	370
16	20	5000000	4	21	167	127836160	469
16	21	5000000	4	21	166	195248128	683
16	22	5000000	4	21	166	346243072	1157
16	23	5000000	4	21	172	656621568	2168
16	24	5000000	4	21	178	1201881088	3788
16	25	5000000	4	21	183	-1985789952	7442
16	16	5000000	4	21	279	56655872	253
16	17	5000000	4	21	236	60387328	278
16	18	5000000	4	21	201	74149888	318
16	19	5000000	4	21	177	91086848	372
16	20	5000000	4	21	167	127836160	469
16	21	5000000	4	21	166	195248128	681
16	22	5000000	4	21	166	346243072	1156
