kMaxTreeDepth	Mean_Timing_(s)	StDev_Timing_(s)	Mean_Heapsize_(bytes)	StDev_Heapsize_(bytes)	Mean_GC_Iters	StDev_GC_Iters
14	8.831633	0.039838	203636736.000000	0.000000	2386.000000	0.000000
15	8.811833	0.048299	203636736.000000	0.000000	2386.000000	0.000000
16	10.809167	0.039271	203636736.000000	0.000000	2688.000000	1.000000
17	11.062933	0.250042	203916356.000000	1505801.219415	2688.000000	3.316625
18	13.576867	0.700380	204195976.000000	2092486.472530	2897.000000	5.477226
19	12.960067	0.209136	203636736.000000	0.000000	2899.000000	2.449490
