kMaxTreeDepth	Mean_Timing_(s)	StDev_Timing_(s)	Mean_Heapsize_(bytes)	StDev_Heapsize_(bytes)	Mean_GC_Iters	StDev_GC_Iters
14	10.408300	0.004947	195248128.000000	0.000000	5281.000000	4.242641
15	10.409300	0.005466	195248128.000000	0.000000	5282.000000	3.872983
16	12.600967	0.010556	195248128.000000	0.000000	5866.000000	4.472136
17	12.607967	0.011937	195248128.000000	0.000000	5866.000000	7.615773
18	15.358933	0.020322	195248128.000000	0.000000	6201.000000	7.549834
19	15.364000	0.018995	195248128.000000	0.000000	6199.000000	5.744563
