kMaxTreeDepth	Mean_Timing_(s)	StDev_Timing_(s)	Mean_Heapsize_(bytes)	StDev_Heapsize_(bytes)	Mean_GC_Iters	StDev_GC_Iters
14	2.968500	0.010145	218447872.000000	0.000000	261.000000	0.000000
15	2.966533	0.010990	218447872.000000	0.000000	261.000000	0.000000
16	3.505200	0.013217	218447872.000000	0.000000	290.000000	0.000000
17	3.510500	0.010516	218447872.000000	0.000000	290.000000	0.000000
18	4.134233	0.021110	218447872.000000	0.000000	311.000000	0.000000
19	4.138533	0.011747	218447872.000000	0.000000	311.000000	0.000000
