kStretchTreeDepth	kLongLivedTreeDepth	kArraySize	kMinTreeDepth	kMaxTreeDepth	GC Itertations	Heap Size	Time Elapsed
21	16	5000000	4	15	5261	195248128	11228
21	16	5000000	4	15	5291	195248128	11693
21	16	5000000	4	15	5257	195248128	11549
21	16	5000000	4	15	5260	195248128	11262
21	16	5000000	4	15	5296	195248128	11215
21	16	5000000	4	15	5253	195248128	11555
21	16	5000000	4	15	5257	195248128	11338
21	16	5000000	4	15	5255	195248128	11609
21	16	5000000	4	15	5257	195248128	11531
21	16	5000000	4	15	5272	195248128	11554
21	16	5000000	4	15	5258	195248128	11432
21	16	5000000	4	15	5284	195248128	11690
21	16	5000000	4	15	5282	195248128	11771
21	16	5000000	4	15	5255	195248128	11571
21	16	5000000	4	15	5256	195248128	11576
21	16	5000000	4	15	5258	195248128	11190
21	16	5000000	4	15	5257	195248128	11681
21	16	5000000	4	15	5286	195248128	11165
21	16	5000000	4	15	5285	195248128	11343
21	16	5000000	4	15	5255	195248128	11798
21	16	5000000	4	15	5258	195248128	11550
21	16	5000000	4	15	5285	195248128	11137
21	16	5000000	4	15	5262	195248128	11385
21	16	5000000	4	15	5283	195248128	11761
21	16	5000000	4	15	5289	195248128	11086
21	16	5000000	4	15	5282	195248128	11596
21	17	5000000	4	15	3734	203636736	13795
21	17	5000000	4	15	3702	203636736	13809
21	17	5000000	4	15	3722	203636736	14418
21	17	5000000	4	15	3722	195248128	15039
21	17	5000000	4	15	3734	203636736	13975
21	17	5000000	4	15	3729	203636736	14084
21	17	5000000	4	15	3704	195248128	15339
21	17	5000000	4	15	3721	195248128	14892
21	17	5000000	4	15	3704	203636736	14158
21	17	5000000	4	15	3705	203636736	14367
21	17	5000000	4	15	3729	203636736	15010
21	17	5000000	4	15	3702	195248128	14917
21	17	5000000	4	15	3721	195248128	14709
21	17	5000000	4	15	3729	203636736	14979
21	17	5000000	4	15	3722	195248128	14426
21	17	5000000	4	15	3704	195248128	14696
21	17	5000000	4	15	3721	195248128	15154
21	17	5000000	4	15	3705	203636736	14199
21	17	5000000	4	15	3721	195248128	14478
21	17	5000000	4	15	3704	195248128	15205
21	17	5000000	4	15	3706	195248128	15056
21	17	5000000	4	15	3703	195248128	14474
21	17	5000000	4	15	3704	195248128	14821
21	17	5000000	4	15	3705	195248128	15094
21	17	5000000	4	15	3721	195248128	14916
21	17	5000000	4	15	3720	203636736	14368
21	17	5000000	4	15	3703	195248128	15111
21	17	5000000	4	15	3703	195248128	14975
21	17	5000000	4	15	3700	203636736	14335
21	17	5000000	4	15	3721	195248128	14721
21	18	5000000	4	15	2375	203636736	18045
21	18	5000000	4	15	2372	212025344	16219
21	18	5000000	4	15	2374	203636736	18310
21	18	5000000	4	15	2374	203636736	17404
21	18	5000000	4	15	2373	212025344	16234
21	18	5000000	4	15	2373	212025344	16330
21	18	5000000	4	15	2374	203636736	17478
21	18	5000000	4	15	2374	203636736	17739
21	18	5000000	4	15	2373	212025344	16684
21	18	5000000	4	15	2373	212025344	17625
21	18	5000000	4	15	2372	212025344	16707
21	18	5000000	4	15	2373	212025344	17871
21	18	5000000	4	15	2374	203636736	18415
21	18	5000000	4	15	2374	203636736	17840
21	18	5000000	4	15	2372	212025344	16011
21	18	5000000	4	15	2374	203636736	18337
21	18	5000000	4	15	2374	203636736	17757
21	18	5000000	4	15	2375	203636736	17970
21	18	5000000	4	15	2387	203636736	16077
21	18	5000000	4	15	2375	203636736	18052
21	18	5000000	4	15	2373	212025344	16494
21	18	5000000	4	15	2374	203636736	18056
21	18	5000000	4	15	2374	203636736	17509
21	18	5000000	4	15	2374	212025344	16962
21	18	5000000	4	15	2374	203636736	17577
21	18	5000000	4	15	2374	203636736	18291
21	18	5000000	4	15	2374	203636736	17261
21	18	5000000	4	15	2374	203636736	18201
21	18	5000000	4	15	2373	212025344	16174
21	18	5000000	4	15	2374	212025344	17094
21	19	5000000	4	15	1408	220413952	19380
21	19	5000000	4	15	1408	220413952	19905
21	19	5000000	4	15	1408	220413952	19340
21	19	5000000	4	15	1408	220413952	19266
21	19	5000000	4	15	1412	212025344	18725
21	19	5000000	4	15	1412	212025344	19155
21	19	5000000	4	15	1407	220413952	20187
21	19	5000000	4	15	1408	220413952	19731
21	19	5000000	4	15	1410	212025344	18645
21	19	5000000	4	15	1410	212025344	18947
21	19	5000000	4	15	1408	220413952	19935
21	19	5000000	4	15	1410	212025344	18305
21	19	5000000	4	15	1407	220413952	19344
21	19	5000000	4	15	1412	212025344	18799
21	19	5000000	4	15	1432	203636736	17990
21	19	5000000	4	15	1418	203636736	18987
21	19	5000000	4	15	1407	220413952	20172
21	19	5000000	4	15	1426	203636736	19603
21	19	5000000	4	15	1407	220413952	19769
21	19	5000000	4	15	1407	220413952	19606
21	19	5000000	4	15	1407	220413952	20238
21	19	5000000	4	15	1407	220413952	19591
21	19	5000000	4	15	1407	220413952	20034
21	19	5000000	4	15	1468	195248128	18065
21	19	5000000	4	15	1429	203636736	18362
21	19	5000000	4	15	1418	203636736	19234
21	19	5000000	4	15	1405	228802560	18671
21	19	5000000	4	15	1407	220413952	20321
21	19	5000000	4	15	1410	212025344	18678
21	19	5000000	4	15	1410	212025344	19118
21	16	5000000	4	16	5862	195248128	13800
21	16	5000000	4	16	5832	195248128	13750
21	16	5000000	4	16	5848	195248128	13861
21	16	5000000	4	16	5892	195248128	13545
21	16	5000000	4	16	5869	195248128	13612
21	16	5000000	4	16	5875	195248128	13032
21	16	5000000	4	16	5842	195248128	14038
21	16	5000000	4	16	5861	195248128	14222
21	16	5000000	4	16	5879	195248128	13646
21	16	5000000	4	16	5872	195248128	13994
21	16	5000000	4	16	5863	195248128	13428
21	16	5000000	4	16	5845	195248128	13831
21	16	5000000	4	16	5869	195248128	13975
21	16	5000000	4	16	5873	195248128	13564
21	16	5000000	4	16	5861	195248128	14126
21	16	5000000	4	16	5838	195248128	13985
21	16	5000000	4	16	5900	195248128	13151
21	16	5000000	4	16	5870	195248128	13796
21	16	5000000	4	16	5839	195248128	13814
21	16	5000000	4	16	5882	195248128	13489
21	16	5000000	4	16	5867	195248128	14068
21	16	5000000	4	16	5834	195248128	13288
21	16	5000000	4	16	5883	195248128	13409
21	16	5000000	4	16	5865	195248128	13790
21	16	5000000	4	16	5849	195248128	13674
21	16	5000000	4	16	5847	195248128	13899
21	16	5000000	4	16	5842	195248128	14052
21	16	5000000	4	16	5842	195248128	13517
21	16	5000000	4	16	5865	195248128	13375
21	16	5000000	4	16	5874	195248128	13542
21	17	5000000	4	16	4151	195248128	17207
21	17	5000000	4	16	4167	195248128	17110
21	17	5000000	4	16	4167	203636736	16688
21	17	5000000	4	16	4149	195248128	17410
21	17	5000000	4	16	4152	195248128	17239
21	17	5000000	4	16	4218	195248128	17161
21	17	5000000	4	16	4149	203636736	16803
21	17	5000000	4	16	4168	195248128	17594
21	17	5000000	4	16	4218	195248128	16827
21	17	5000000	4	16	4169	195248128	17445
21	17	5000000	4	16	4150	195248128	17794
21	17	5000000	4	16	4151	203636736	16867
21	17	5000000	4	16	4218	195248128	16389
21	17	5000000	4	16	4150	195248128	17106
21	17	5000000	4	16	4151	203636736	16845
21	17	5000000	4	16	4152	203636736	16931
21	17	5000000	4	16	4218	195248128	17076
21	17	5000000	4	16	4150	203636736	16745
21	17	5000000	4	16	4167	195248128	17461
21	17	5000000	4	16	4168	195248128	17817
21	17	5000000	4	16	4168	203636736	16958
21	17	5000000	4	16	4174	203636736	17773
21	17	5000000	4	16	4152	203636736	16806
21	17	5000000	4	16	4150	195248128	17582
21	17	5000000	4	16	4149	195248128	17672
21	17	5000000	4	16	4175	203636736	17939
21	17	5000000	4	16	4164	195248128	17750
21	17	5000000	4	16	4151	195248128	17688
21	17	5000000	4	16	4165	195248128	17661
21	17	5000000	4	16	4168	203636736	16687
21	18	5000000	4	16	2676	212025344	19442
21	18	5000000	4	16	2677	212025344	19685
21	18	5000000	4	16	2676	212025344	19642
21	18	5000000	4	16	2677	203636736	21128
21	18	5000000	4	16	2678	203636736	21210
21	18	5000000	4	16	2677	203636736	21125
21	18	5000000	4	16	2675	212025344	19659
21	18	5000000	4	16	2678	212025344	19517
21	18	5000000	4	16	2677	203636736	21099
21	18	5000000	4	16	2678	203636736	21128
21	18	5000000	4	16	2676	203636736	21158
21	18	5000000	4	16	2680	203636736	21175
21	18	5000000	4	16	2676	212025344	19590
21	18	5000000	4	16	2675	203636736	21146
21	18	5000000	4	16	2676	203636736	21032
21	18	5000000	4	16	2676	203636736	21187
21	18	5000000	4	16	2677	203636736	21198
21	18	5000000	4	16	2679	203636736	21075
21	18	5000000	4	16	2677	212025344	19742
21	18	5000000	4	16	2676	203636736	21036
21	18	5000000	4	16	2689	203636736	19585
21	18	5000000	4	16	2677	212025344	19624
21	18	5000000	4	16	2674	212025344	19506
21	18	5000000	4	16	2677	203636736	20958
21	18	5000000	4	16	2675	212025344	19497
21	18	5000000	4	16	2673	212025344	19405
21	18	5000000	4	16	2675	212025344	19458
21	18	5000000	4	16	2677	203636736	20994
21	18	5000000	4	16	2689	203636736	19303
21	18	5000000	4	16	2727	195248128	19731
21	19	5000000	4	16	1593	212025344	22002
21	19	5000000	4	16	1613	203636736	21394
21	19	5000000	4	16	1600	203636736	22472
21	19	5000000	4	16	1601	203636736	22335
21	19	5000000	4	16	1601	203636736	22331
21	19	5000000	4	16	1591	220413952	23325
21	19	5000000	4	16	1595	212025344	22076
21	19	5000000	4	16	1592	212025344	21990
21	19	5000000	4	16	1595	212025344	22106
21	19	5000000	4	16	1602	203636736	22621
21	19	5000000	4	16	1593	212025344	22081
21	19	5000000	4	16	1591	220413952	23361
21	19	5000000	4	16	1601	203636736	22624
21	19	5000000	4	16	1590	220413952	23559
21	19	5000000	4	16	1591	220413952	22987
21	19	5000000	4	16	1601	203636736	22266
21	19	5000000	4	16	1593	212025344	21954
21	19	5000000	4	16	1601	203636736	22439
21	19	5000000	4	16	1591	220413952	23131
21	19	5000000	4	16	1591	220413952	23341
21	19	5000000	4	16	1593	212025344	22125
21	19	5000000	4	16	1600	203636736	22487
21	19	5000000	4	16	1593	212025344	22141
21	19	5000000	4	16	1651	195248128	21712
21	19	5000000	4	16	1593	212025344	22177
21	19	5000000	4	16	1594	212025344	22210
21	19	5000000	4	16	1591	220413952	23430
21	19	5000000	4	16	1592	212025344	22339
21	19	5000000	4	16	1591	220413952	22536
21	19	5000000	4	16	1594	212025344	21901
21	16	5000000	4	17	5875	195248128	13837
21	16	5000000	4	17	5838	195248128	13816
21	16	5000000	4	17	5855	195248128	13514
21	16	5000000	4	17	5835	195248128	13533
21	16	5000000	4	17	5875	195248128	14030
21	16	5000000	4	17	5887	195248128	13900
21	16	5000000	4	17	5837	195248128	13547
21	16	5000000	4	17	5844	195248128	13785
21	16	5000000	4	17	5869	195248128	13596
21	16	5000000	4	17	5850	195248128	13412
21	16	5000000	4	17	5839	195248128	13751
21	16	5000000	4	17	5869	195248128	13881
21	16	5000000	4	17	5854	195248128	13696
21	16	5000000	4	17	5872	195248128	13561
21	16	5000000	4	17	5839	195248128	13851
21	16	5000000	4	17	5875	195248128	14066
21	16	5000000	4	17	5864	195248128	13583
21	16	5000000	4	17	5884	195248128	13432
21	16	5000000	4	17	5869	195248128	13592
21	16	5000000	4	17	5849	195248128	13543
21	16	5000000	4	17	5864	195248128	13869
21	16	5000000	4	17	5869	195248128	13372
21	16	5000000	4	17	5850	195248128	13515
21	16	5000000	4	17	5833	195248128	13576
21	16	5000000	4	17	5860	195248128	13515
21	16	5000000	4	17	5861	195248128	13862
21	16	5000000	4	17	5848	195248128	13884
21	16	5000000	4	17	5864	195248128	14111
21	16	5000000	4	17	5894	195248128	13876
21	16	5000000	4	17	5878	195248128	13341
21	17	5000000	4	17	4179	203636736	16953
21	17	5000000	4	17	4151	195248128	17851
21	17	5000000	4	17	4167	195248128	17112
