kMaxTreeDepth	Mean_Timing_(s)	StDev_Timing_(s)	Mean_Heapsize_(bytes)	StDev_Heapsize_(bytes)	Mean_GC_Iters	StDev_GC_Iters
14	3.953400	0.001519	201670656.000000	0.000000	662.000000	0.000000
15	3.951533	0.001310	201670656.000000	0.000000	662.000000	0.000000
16	4.677633	0.002664	201670656.000000	0.000000	729.000000	0.000000
17	4.678967	0.002345	201670656.000000	0.000000	729.000000	1.000000
18	5.459833	0.004313	201670656.000000	0.000000	771.000000	2.236068
19	5.459067	0.008771	201670656.000000	0.000000	771.000000	1.732051
