kMaxTreeDepth	Mean_Timing_(s)	StDev_Timing_(s)	Mean_Heapsize_(bytes)	StDev_Heapsize_(bytes)	Mean_GC_Iters	StDev_GC_Iters
14	13.658867	0.055786	195248128.000000	0.000000	5286.000000	2.000000
15	13.671500	0.052589	195248128.000000	0.000000	5285.000000	3.000000
16	15.951100	0.046683	195248128.000000	0.000000	5868.000000	5.477226
17	16.179100	0.262037	195248128.000000	0.000000	5869.000000	4.690416
18	18.372300	0.415394	195248128.000000	0.000000	6200.000000	6.000000
19	18.331700	0.651535	195248128.000000	0.000000	6201.000000	4.795832
