kMaxTreeDepth	Mean_Timing_(s)	StDev_Timing_(s)	Mean_Heapsize_(bytes)	StDev_Heapsize_(bytes)	Mean_GC_Iters	StDev_GC_Iters
14	19.335867	0.010850	204195976.000000	3011602.438830	1417.000000	1.732051
15	19.345767	0.015720	203636736.000000	0.000000	1418.000000	0.000000
16	22.527767	0.018401	203636736.000000	0.000000	1602.000000	0.000000
17	22.519700	0.011109	204755217.000000	4184972.945060	1601.000000	2.645751
18	25.732667	0.016084	203636736.000000	0.000000	1746.000000	0.000000
19	25.738967	0.025309	205314457.000000	5033164.800000	1744.000000	3.464102
