kMaxTreeDepth	Mean_Timing_(s)	StDev_Timing_(s)	Mean_Heapsize_(bytes)	StDev_Heapsize_(bytes)	Mean_GC_Iters	StDev_GC_Iters
14	11.026200	0.070260	203636736.000000	0.000000	3731.000000	0.000000
15	11.073500	0.061990	203636736.000000	0.000000	3731.000000	0.000000
16	13.227100	0.053297	203636736.000000	0.000000	4177.000000	1.414214
17	13.661500	0.499819	203636736.000000	0.000000	4177.000000	2.236068
18	16.109633	1.161155	203636736.000000	0.000000	4455.000000	2.645751
19	15.535367	0.434189	203636736.000000	0.000000	4454.000000	3.605551
