GC Free Space Divisor	Mean Heap Size (bytes)	StdDev Heap Size (bytes)	Mean Time (s)	StdDev Time (s)	Mean GC Iters	StdDev GC Iters
1	210235392.000000	0.000000	3.052800	0.007026	517.000000	0.000000
2	215878860.000000	6710886.400000	4.448000	0.070922	688.000000	16.370706
3	161669120.000000	0.000000	5.383000	0.005657	1456.000000	1.732051
4	163024896.000000	0.000000	6.352000	0.008414	2515.000000	3.605551
5	147693568.000000	0.000000	7.410000	0.006841	3201.000000	8.602325
